id,libm,libf,liste,natlib,priv_cad,priv_tec,priv_am,priv_emp,priv_oq,priv_onq,priv_nr,pub_catA,pub_catB,pub_catC,pub_nr,inde_0_9,inde_10_49,inde>49,inde_nr,aid_fam,ssvaran,sgnm,sgnf,dered,deredeur,datecrea,valid,Présence d'erreur.s,doublib,doubsgn,modpub,modpriv,effearpu,effearpri
1,Artisan électricien,Artisan électricien,0,I>S/Priv>Pub,47B2,47B2,48B1,62A3,62A3,67A1,62A3,47B2,47B2,62A3,62A3,21B5,23B1,23A1,21B5,21B5,21B5,ARTISANELECTRICIEN,ARTISANELECTRICIEN,20/05/19 15:58,Olivier,10/09/18 11:44,olivier,Présence d'erreur.s,0,0,i,emp,.,328
2,Artisan menuisier,Artisan menuisier,0,I>S/Priv>Pub,?,?,?,0,?,?,0,?,?,?,0,?,?,23A1,?,?,?,ARTISANMENUISIER,ARTISANMENUISIER,22/08/18 16:17,olivier,10/09/18 11:55,olivier,Présence d'erreur.s,0,0,,,,
3,Artisan peintre,Artisan peintre,0,I>S/Priv>Pub,47B2,47B2,48B1,63B6,63B6,68A2,63B6,47B2,47B2,63B6,63B6,21B6,23B1,23A1,21B6,21B6,21B6,ARTISANPEINTRE,ARTISANPEINTRE,20/05/19 15:58,Olivier,10/09/18 12:07,olivier,Présence d'erreur.s,0,0,i,emp,.,122
4,Électricien,Électricienne,0,S>I/Priv>Pub,?,?,?,0,?,?,0,?,?,?,0,?,?,23A1,?,?,oq,ELECTRICIEN,ELECTRICIENNE,23/08/18 16:27,olivier,10/09/18 12:29,olivier,Présence d'erreur.s,0,0,,,,
5,Électromécanicien,Électromécanicienne,0,S>I/Priv>Pub,?,?,?,0,?,?,0,?,?,?,0,?,?,23A1,?,?,oq,ELECTROMECANICIEN,ELECTROMECANICIENNE,23/08/18 15:54,olivier,10/09/18 12:29,olivier,Présence d'erreur.s,0,0,,,,
6,Menuisier,Menuisière,0,S>I/Priv>Pub,?,?,?,0,?,?,0,?,?,?,0,?,?,23A1,?,?,oq,MENUISIER,MENUISIERE,23/08/18 15:55,olivier,10/09/18 14:59,olivier,Présence d'erreur.s,0,0,,,,
7,Peintre,Peintre,0,S>I/Priv>Pub,?,?,?,0,?,?,0,?,?,?,0,?,?,23A1,?,?,oq,PEINTRE,PEINTRE,22/08/18 16:17,olivier,10/09/18 15:11,olivier,Présence d'erreur.s,0,0,,,,
8,Artisan maçon,Artisan maçon,1,I>S/Priv>Pub,47B2,47B2,48B1,cad,63B1,68A1,cad,47B2,47B2,?,?,21B1,23B1,23A1,21B1,21B1,21B1,ARTISANMACON,ARTISANMACON,11/09/18 15:35,olivier,10/09/18 15:22,olivier,Présence d'erreur.s,0,0,i,cad,.,19
9,Chef d’entreprise de maçonnerie,Cheffe d’entreprise de maçonnerie,1,UI,21B1,21B1,21B1,21B1,21B1,21B1,21B1,21B1,21B1,21B1,21B1,21B1,23B1,23A1,21B1,21B1,21B1,CHEFDENTREPRISEMACONNERIE,CHEFFEDENTREPRISEMACONNERIE,11/09/18 15:35,olivier,10/09/18 15:42,olivier,Présence d'erreur.s,0,0,,,,
10,Cheministe,Cheministe,1,S>I/Priv>Pub,47B2,47B2,48B1,68A1,63B1,68A1,68A1,47B2,47B2,68A1,68A1,21B1,23B1,23A1,21B1,21B1,68A1,CHEMINISTE,CHEMINISTE,11/09/18 15:35,olivier,10/09/18 15:50,olivier,Présence d'erreur.s,0,0,i,cad,.,11
11,Enduiseur,Enduiseur,1,S>I/Priv>Pub,47B2,47B2,48B1,63B1,63B1,68A1,63B1,47B2,47B2,63B1,63B1,21B1,23B1,23A1,21B1,21B1,63B1,ENDUISEUR,ENDUISEUR,11/09/18 15:35,olivier,10/09/18 15:50,olivier,Présence d'erreur.s,0,0,,,,
12,Entrepreneur en maçonnerie,Entrepreneur en maçonnerie,1,UI,21B1,21B1,21B1,21B1,21B1,21B1,21B1,21B1,21B1,21B1,21B1,21B1,23B1,23A1,21B1,21B1,21B1,ENTREPRENEURMACONNERIE,ENTREPRENEURMACONNERIE,22/08/18 16:17,olivier,10/09/18 16:12,olivier,Validée,0,0,catA,emp,54,35
13,Étancheur,Étancheur,1,S>I/Priv>Pub,47B2,47B2,48B1,63B1,63B1,68A1,63B1,47B2,47B2,63B1,63B1,21B1,23B1,23A1,21B1,21B1,63B1,ETANCHEUR,ETANCHEUR,22/08/18 16:17,olivier,25/09/18 13:49,olivier,Validée,0,0,,,,
14,Façadier-crépisseur,Façadier-crépisseur,1,S>I/Priv>Pub,47B2,47B2,48B1,63B6,63B6,68A2,63B6,47B2,47B2,63B6,63B6,21B6,23B1,23A1,21B6,21B6,63B6,FACADIERCREPISSEUR,FACADIERCREPISSEUR,11/09/18 15:35,olivier,25/09/18 13:49,olivier,Validée,0,0,,,,
15,Façadier-enduiseur,Façadier-enduiseur,1,S>I/Priv>Pub,47B2,47B2,48B1,63B6,63B6,68A2,63B6,47B2,47B2,63B6,63B6,21B6,23B1,23A1,21B6,21B6,63B6,FACADIERENDUISEUR,FACADIERENDUISEUR,11/09/18 15:35,olivier,25/09/18 13:49,olivier,Présence d'erreur.s,0,0,,,,
16,Fumiste,Fumiste,1,S>I/Priv>Pub,47B2,47B2,48B1,68A1,63B1,68A1,68A1,47B2,47B2,68A1,68A1,21B1,23B1,23A1,21B1,21B1,68A1,FUMISTE,FUMISTE,22/08/18 16:18,olivier,25/09/18 13:49,olivier,Présence d'erreur.s,0,0,,,,
17,Maçon,Maçonne,1,S>I/Priv>Pub,47B2,47B2,48B1,68A1,63B1,68A1,68A1,47B2,47B2,68A1,68A1,21B1,23B1,23A1,21B1,21B1,68A1,MACON,MACON,22/08/18 16:27,olivier,25/09/18 13:49,olivier,Présence d'erreur.s,0,0,,,,
18,Maçon carreleur,Maçonne carreleur,1,S>I/Priv>Pub,47B2,47B2,48B1,0,63B1,68A1,0,47B2,47B2,i,i,21B1,23B1,23A1,21B1,21B1,i,MACONCARRELEUR,MACONNECARRELEUR,11/09/18 15:35,olivier,,olivier,Présence d'erreur.s,0,0,,,,
19,Piscinier,Piscinier,1,S>I/Priv>Pub,47B2,47B2,48B1,63B1,63B1,68A1,63B1,47B2,47B2,63B1,63B1,21B1,23B1,23A1,21B1,21B1,63B1,PISCINIER,PISCINIER,22/08/18 16:45,olivier,25/09/18 13:49,olivier,Présence d'erreur.s,0,0,catA,emp,17,16
20,Pisciniste,Pisciniste,1,S>I/Priv>Pub,47B2,47B2,48B1,63B1,63B1,68A1,63B1,47B2,47B2,63B1,63B1,21B1,23B1,23A1,21B1,21B1,63B1,PISCINISTE,PISCINISTE,22/08/18 16:18,olivier,10/09/18 16:21,olivier,Présence d'erreur.s,0,0,catA,cad,32,19
21,Artisan charpentier,Artisan charpentier,1,I>S/Priv>Pub,47B2,47B2,48B1,63B2,63B2,68A1,63B2,47B2,47B2,63B2,63B2,21B2,23B1,23A1,21B2,21B2,21B2,ARTISANCHARPENTIER,ARTISANCHARPENTIER,11/09/18 15:35,olivier,10/09/18 16:21,olivier,Présence d'erreur.s,0,0,catA,cad,20,21
22,Artisan couvreur,Artisan couvreur,1,I>S/Priv>Pub,47B2,47B2,48B1,63B2,63B2,68A1,63B2,47B2,47B2,63B2,63B2,21B2,23B1,23A1,21B2,21B2,21B2,ARTISANCOUVREUR,ARTISANCOUVREUR,11/09/18 15:35,olivier,10/09/18 16:21,olivier,Validée,0,0,catA,cad,25,13
23,Artisan zingueur,Artisan zingueur,1,I>S/Priv>Pub,47B2,47B2,48B1,63B2,63B2,68A1,63B2,47B2,47B2,63B2,63B2,21B2,23B1,23A1,21B2,21B2,21B2,ARTISANZINGUEUR,ARTISANZINGUEUR,11/09/18 15:35,olivier,10/09/18 16:21,olivier,Validée,0,0,,,,
